iteracion,van
0,1102189581.3333335
1,1112227358.6666665
2,1158665349.0
3,1158665349.0
4,1170055864.3333335
5,1170055864.3333335
6,1170055864.3333335
7,1170055864.3333335
8,1170055864.3333335
9,1170055864.3333335
10,1170055864.3333335
11,1170055864.3333335
12,1170055864.3333335
13,1170055864.3333335
14,1170055864.3333335
15,1170055864.3333335
16,1170055864.3333335
17,1182708959.3333335
18,1182708959.3333335
19,1182708959.3333335
20,1182708959.3333335
21,1182708959.3333335
22,1182708959.3333335
23,1189152013.0
24,1189152013.0
25,1189152013.0
26,1189152013.0
27,1189152013.0
28,1189152013.0
29,1189152013.0
30,1189152013.0
31,1189152013.0
32,1189152013.0
33,1189152013.0
34,1189152013.0
35,1189152013.0
36,1189152013.0
37,1189152013.0
38,1189152013.0
39,1189152013.0
40,1189152013.0
41,1189152013.0
42,1189152013.0
43,1189152013.0
44,1189152013.0
45,1217419288.0
46,1217419288.0
47,1217419288.0
48,1217419288.0
49,1217419288.0
50,1217419288.0
