iteracion,van
0,12543675802.0
1,12543675802.0
2,12623432441.666668
3,12706769521.333332
4,12791320921.0
5,12791320921.0
6,12791320921.0
7,12791320921.0
8,12815879108.0
9,12856513032.666668
10,13023846463.666668
11,13040263655.0
12,13145593535.0
13,13145593535.0
14,13145593535.0
15,13145593535.0
16,13145593535.0
17,13145593535.0
18,13145593535.0
19,13145593535.0
20,13145593535.0
21,13145593535.0
22,13145593535.0
23,13145593535.0
24,13145593535.0
25,13204141012.333332
26,13239424050.333332
27,13276569535.0
28,13305070766.666668
29,13330002397.0
30,13462341953.0
31,13462341953.0
32,13462341953.0
33,13462341953.0
34,13462341953.0
35,13462341953.0
36,13494291686.666668
37,13526911016.333332
38,13526911016.333332
39,13526911016.333332
40,13605253828.666668
41,13605253828.666668
42,13605253828.666668
43,13605253828.666668
44,13605253828.666668
45,13605253828.666668
46,13605253828.666668
47,13613703773.666668
48,13613703773.666668
49,13613703773.666668
50,13613703773.666668
51,13613703773.666668
52,13613703773.666668
53,13613703773.666668
54,13613703773.666668
55,13613703773.666668
56,13613703773.666668
57,13613703773.666668
58,13613703773.666668
59,13613703773.666668
60,13613703773.666668
61,13613703773.666668
62,13638928076.666668
63,13711676611.0
64,13749458511.333332
65,13797145216.666668
66,13806094009.333332
67,13946358153.333332
68,13946358153.333332
69,13946358153.333332
70,13946358153.333332
71,13946358153.333332
72,13946358153.333332
73,13946358153.333332
74,13946358153.333332
75,13946358153.333332
76,13946358153.333332
77,13946358153.333332
78,13953214195.666668
79,13953214195.666668
80,13953214195.666668
81,13953214195.666668
82,13953214195.666668
83,13953214195.666668
84,13967731023.0
85,13967731023.0
86,13967731023.0
87,13967731023.0
88,13967731023.0
89,13967731023.0
90,13967731023.0
91,14129771675.333332
92,14129771675.333332
93,14129771675.333332
94,14129771675.333332
95,14129771675.333332
96,14129771675.333332
97,14132393135.333332
98,14165563788.333332
99,14315257101.666668
100,14315257101.666668
101,14315257101.666668
102,14315257101.666668
103,14315257101.666668
104,14315257101.666668
105,14315257101.666668
106,14315257101.666668
107,14315257101.666668
108,14315257101.666668
109,14315257101.666668
110,14315257101.666668
111,14315257101.666668
112,14315257101.666668
113,14315257101.666668
114,14315257101.666668
115,14315257101.666668
116,14315257101.666668
117,14315257101.666668
118,14315257101.666668
119,14315257101.666668
120,14315257101.666668
121,14315257101.666668
122,14315257101.666668
123,14315257101.666668
124,14315257101.666668
125,14315257101.666668
126,14315257101.666668
127,14315257101.666668
128,14315257101.666668
129,14315257101.666668
130,14315257101.666668
131,14315257101.666668
132,14315257101.666668
133,14315257101.666668
134,14315257101.666668
135,14315257101.666668
136,14315257101.666668
137,14315257101.666668
138,14315257101.666668
139,14315257101.666668
140,14315257101.666668
141,14315257101.666668
142,14315257101.666668
143,14315257101.666668
144,14315257101.666668
145,14315257101.666668
146,14315257101.666668
147,14315257101.666668
148,14315257101.666668
149,14315257101.666668
150,14315257101.666668
151,14315257101.666668
152,14315257101.666668
153,14315257101.666668
154,14315257101.666668
155,14315257101.666668
156,14315257101.666668
157,14315257101.666668
158,14315257101.666668
159,14315257101.666668
160,14315257101.666668
161,14315257101.666668
162,14315257101.666668
163,14315257101.666668
164,14315257101.666668
165,14315257101.666668
166,14315257101.666668
167,14315257101.666668
168,14315257101.666668
169,14315257101.666668
170,14315257101.666668
171,14315257101.666668
172,14315257101.666668
173,14315257101.666668
174,14315257101.666668
175,14315257101.666668
176,14315257101.666668
177,14315257101.666668
178,14315257101.666668
179,14315257101.666668
180,14315257101.666668
181,14315257101.666668
182,14315257101.666668
183,14315257101.666668
184,14315257101.666668
185,14315257101.666668
186,14315257101.666668
187,14315257101.666668
188,14315257101.666668
189,14315257101.666668
190,14315257101.666668
191,14315257101.666668
192,14315257101.666668
193,14315257101.666668
194,14315257101.666668
195,14315257101.666668
196,14315257101.666668
197,14315257101.666668
198,14315257101.666668
199,14315257101.666668
200,14315257101.666668
201,14315257101.666668
202,14315257101.666668
203,14315257101.666668
204,14315257101.666668
205,14322342895.666668
206,14322342895.666668
207,14322342895.666668
208,14332239294.0
209,14332239294.0
210,14332239294.0
211,14332239294.0
212,14332239294.0
213,14345309322.333332
214,14345309322.333332
215,14345309322.333332
216,14352428683.666668
217,14352428683.666668
218,14352428683.666668
219,14352428683.666668
220,14389944418.333332
221,14389944418.333332
222,14389944418.333332
223,14389944418.333332
224,14389944418.333332
225,14389944418.333332
226,14389944418.333332
227,14389944418.333332
228,14389944418.333332
229,14415896287.666668
230,14433485471.0
231,14433485471.0
232,14433485471.0
233,14433485471.0
234,14433485471.0
235,14433485471.0
236,14433485471.0
