iteracion,van
0,14106880319.666666
1,14106880319.666666
2,14106880319.666666
3,14106880319.666666
4,14106880319.666666
5,14106880319.666666
6,14106880319.666666
7,14106880319.666666
8,14106880319.666666
9,14106880319.666666
10,14106880319.666666
11,14106880319.666666
12,14106880319.666666
13,14106880319.666666
14,14125380218.0
15,14125380218.0
16,14125380218.0
17,14125380218.0
18,14125380218.0
19,14125380218.0
20,14125380218.0
21,14125380218.0
22,14125380218.0
23,14125380218.0
24,14125380218.0
25,14125380218.0
26,14125380218.0
27,14125380218.0
28,14125380218.0
29,14125380218.0
30,14125380218.0
31,14125380218.0
32,14125380218.0
33,14125380218.0
34,14125380218.0
35,14125380218.0
36,14125380218.0
37,14125380218.0
38,14125380218.0
39,14125380218.0
40,14125380218.0
41,14125380218.0
42,14125380218.0
43,14125380218.0
44,14125380218.0
45,14125380218.0
46,14125380218.0
47,14125380218.0
48,14125380218.0
49,14125380218.0
50,14125380218.0
51,14125380218.0
52,14125380218.0
53,14125380218.0
54,14125380218.0
55,14125380218.0
56,14125380218.0
57,14125380218.0
58,14125380218.0
59,14125380218.0
60,14125380218.0
61,14125380218.0
62,14125380218.0
63,14125380218.0
64,14125380218.0
65,14125380218.0
66,14125380218.0
67,14125380218.0
68,14125380218.0
69,14125380218.0
70,14125380218.0
71,14125380218.0
72,14125380218.0
73,14125380218.0
74,14125380218.0
75,14125380218.0
76,14125380218.0
77,14125380218.0
78,14125380218.0
79,14125380218.0
80,14125380218.0
81,14125380218.0
82,14125380218.0
83,14125380218.0
84,14125380218.0
85,14125380218.0
86,14125380218.0
87,14125380218.0
88,14125380218.0
89,14125380218.0
90,14125380218.0
91,14125380218.0
92,14125380218.0
93,14125380218.0
94,14125380218.0
95,14125380218.0
96,14125380218.0
97,14125380218.0
98,14125380218.0
99,14125380218.0
100,14125380218.0
