iteracion,van
0,16292393295.0
1,16359130939.666668
2,16400587138.0
3,16400587138.0
4,16417434268.0
5,16489611256.333332
6,16489611256.333332
7,16588943097.333332
8,16698256390.0
9,16756147052.333332
10,16801627044.0
11,16821620137.333332
12,16821620137.333332
13,16884876199.666668
14,16980420527.0
15,16980420527.0
16,16980420527.0
17,16980420527.0
18,16980420527.0
19,16980420527.0
20,17022039463.666668
21,17093908612.666668
22,17093908612.666668
23,17093908612.666668
24,17118798274.0
25,17118798274.0
26,17118798274.0
27,17118798274.0
28,17118798274.0
29,17118798274.0
30,17118798274.0
31,17118798274.0
32,17118798274.0
33,17118798274.0
34,17118798274.0
35,17140599157.0
36,17140599157.0
37,17140599157.0
38,17140599157.0
39,17140599157.0
40,17140599157.0
41,17140599157.0
42,17140599157.0
43,17185521503.333332
44,17223005955.333332
45,17223005955.333332
46,17288363127.0
47,17288363127.0
48,17288363127.0
49,17288363127.0
50,17288363127.0
51,17288363127.0
52,17288363127.0
53,17288363127.0
54,17288363127.0
55,17288363127.0
56,17288363127.0
57,17288363127.0
58,17288363127.0
59,17316300966.666668
60,17316300966.666668
61,17316300966.666668
62,17316300966.666668
63,17316300966.666668
64,17458222988.666668
65,17458222988.666668
66,17458222988.666668
67,17465845830.666668
68,17564558973.333332
69,17564558973.333332
70,17564558973.333332
71,17564558973.333332
72,17564558973.333332
73,17564558973.333332
74,17564558973.333332
75,17564558973.333332
76,17593814424.0
77,17650546947.333332
78,17650546947.333332
79,17650546947.333332
80,17650546947.333332
81,17678283062.0
82,17678283062.0
83,17678283062.0
84,17678283062.0
85,17678283062.0
86,17678283062.0
87,17678283062.0
88,17678283062.0
89,17678283062.0
90,17678283062.0
91,17678283062.0
92,17678283062.0
93,17678283062.0
94,17678283062.0
95,17678283062.0
96,17678283062.0
97,17678283062.0
98,17678283062.0
99,17678283062.0
100,17707923912.666668
101,17721603852.333332
102,17799100043.0
103,17879801354.666668
104,17966336032.333332
105,17966336032.333332
106,17966336032.333332
107,17966336032.333332
108,17966336032.333332
109,17966336032.333332
110,17966336032.333332
111,17997697962.666668
112,17997697962.666668
113,17997697962.666668
114,18070667558.0
115,18070667558.0
116,18070667558.0
117,18070667558.0
118,18070667558.0
119,18070667558.0
120,18070667558.0
121,18075760069.333332
122,18075760069.333332
123,18121411084.333332
124,18121411084.333332
125,18121411084.333332
126,18121411084.333332
127,18121411084.333332
128,18121411084.333332
129,18121411084.333332
130,18121411084.333332
131,18121411084.333332
132,18121411084.333332
133,18121411084.333332
134,18121411084.333332
135,18121411084.333332
136,18121411084.333332
137,18121411084.333332
138,18121411084.333332
139,18121411084.333332
140,18121411084.333332
141,18121411084.333332
142,18121411084.333332
143,18121411084.333332
144,18121411084.333332
145,18121411084.333332
146,18121411084.333332
147,18121411084.333332
148,18121411084.333332
149,18121411084.333332
150,18121411084.333332
151,18121411084.333332
152,18121411084.333332
153,18121411084.333332
154,18121411084.333332
155,18121411084.333332
156,18130356291.0
157,18130356291.0
158,18130356291.0
159,18130356291.0
160,18130356291.0
161,18130356291.0
162,18216987624.666668
163,18216987624.666668
164,18216987624.666668
165,18217480226.0
166,18238175656.666668
167,18242767756.0
168,18242767756.0
169,18285586798.333332
170,18285586798.333332
171,18296719163.333332
172,18296719163.333332
173,18296719163.333332
174,18313994207.666668
175,18387788829.666668
176,18387788829.666668
177,18438776400.666668
178,18438776400.666668
179,18438776400.666668
180,18438776400.666668
181,18438776400.666668
182,18438776400.666668
183,18438776400.666668
184,18448139412.666668
185,18448139412.666668
186,18448139412.666668
187,18448139412.666668
188,18448139412.666668
189,18448139412.666668
190,18448139412.666668
191,18448139412.666668
192,18448139412.666668
193,18448139412.666668
194,18466603387.666668
195,18466603387.666668
196,18466603387.666668
197,18466603387.666668
198,18466603387.666668
199,18466603387.666668
200,18466603387.666668
201,18466603387.666668
202,18466603387.666668
203,18466603387.666668
204,18466603387.666668
205,18466603387.666668
206,18466603387.666668
207,18466603387.666668
208,18466603387.666668
209,18466603387.666668
210,18466603387.666668
211,18466603387.666668
212,18490725030.333332
213,18490725030.333332
214,18502880350.0
215,18502880350.0
216,18621181737.666668
217,18621181737.666668
218,18621181737.666668
219,18621181737.666668
220,18621181737.666668
221,18621181737.666668
222,18621181737.666668
223,18621181737.666668
224,18626842440.333332
225,18626842440.333332
226,18626842440.333332
227,18626842440.333332
228,18626842440.333332
229,18626842440.333332
230,18672981135.0
231,18693586232.666668
232,18693586232.666668
233,18693586232.666668
234,18693586232.666668
235,18693586232.666668
236,18693586232.666668
237,18693586232.666668
238,18693586232.666668
239,18693586232.666668
240,18693586232.666668
241,18693586232.666668
242,18693586232.666668
243,18693586232.666668
244,18693586232.666668
245,18693586232.666668
246,18693586232.666668
247,18693586232.666668
248,18693586232.666668
249,18693586232.666668
250,18693586232.666668
251,18693586232.666668
252,18693586232.666668
253,18693586232.666668
254,18693586232.666668
255,18693586232.666668
256,18693586232.666668
257,18693586232.666668
258,18693586232.666668
259,18693586232.666668
260,18693586232.666668
261,18693586232.666668
262,18693586232.666668
263,18693586232.666668
264,18693586232.666668
265,18693586232.666668
266,18693586232.666668
267,18693586232.666668
268,18693586232.666668
269,18693586232.666668
270,18693586232.666668
271,18693586232.666668
272,18693586232.666668
273,18693586232.666668
274,18693586232.666668
