iteracion,van
0,6963698546.0
1,7001278465.0
2,8049248195.0
3,8049248195.0
4,8089080196.666667
5,8191616073.0
6,8207487376.333333
7,8304345755.333333
8,8386109559.666667
9,8386109559.666667
10,8400104674.0
11,8461571330.0
12,8473341764.333333
13,8491854125.333333
14,8491854125.333333
15,8533084898.666667
16,8533084898.666667
17,8533084898.666667
18,8533084898.666667
19,8801580738.666668
20,8844471836.333332
21,9095262644.666668
22,9187418629.0
23,9187418629.0
24,9193058708.333332
25,9195286563.333332
26,9267778324.666668
27,9267778324.666668
28,9275383964.666668
29,9424864380.333332
30,9442154355.333332
31,9442154355.333332
32,9442154355.333332
33,9442154355.333332
34,9442154355.333332
35,9442154355.333332
36,9442154355.333332
37,9442154355.333332
38,9442154355.333332
39,9442154355.333332
40,9442154355.333332
41,9442154355.333332
42,9442154355.333332
43,9442154355.333332
44,9442154355.333332
45,9442154355.333332
46,9442154355.333332
47,9442154355.333332
48,9442154355.333332
49,9442154355.333332
50,9442154355.333332
51,9442154355.333332
52,9442154355.333332
53,9442154355.333332
54,9442154355.333332
55,9442154355.333332
56,9442154355.333332
57,9442154355.333332
58,9442154355.333332
59,9442154355.333332
60,9442154355.333332
61,9442154355.333332
62,9442154355.333332
63,9442154355.333332
64,9442154355.333332
65,9442154355.333332
66,9442154355.333332
67,9442154355.333332
68,9442154355.333332
69,9442154355.333332
70,9442154355.333332
71,9442154355.333332
72,9442154355.333332
73,9442154355.333332
74,9442154355.333332
75,9442154355.333332
76,9442154355.333332
77,9442154355.333332
78,9442154355.333332
79,9442154355.333332
80,9442154355.333332
81,9442154355.333332
82,9442154355.333332
83,9442154355.333332
84,9442154355.333332
85,9442154355.333332
86,9442154355.333332
87,9442154355.333332
88,9442154355.333332
89,9442154355.333332
90,9442154355.333332
91,9442154355.333332
92,9442154355.333332
93,9442154355.333332
94,9442154355.333332
95,9442154355.333332
96,9442154355.333332
97,9442154355.333332
98,9442154355.333332
99,9442154355.333332
100,9442154355.333332
101,9442154355.333332
102,9442154355.333332
103,9442154355.333332
104,9442154355.333332
105,9442154355.333332
106,9442154355.333332
107,9442154355.333332
108,9442154355.333332
109,9442154355.333332
110,9442154355.333332
111,9442154355.333332
112,9442154355.333332
113,9442154355.333332
114,9442154355.333332
115,9442154355.333332
116,9442154355.333332
117,9442154355.333332
118,9442154355.333332
119,9442154355.333332
120,9442154355.333332
121,9442154355.333332
122,9442154355.333332
123,9442154355.333332
124,9442154355.333332
125,9442154355.333332
126,9442154355.333332
127,9442154355.333332
128,9442154355.333332
129,9442154355.333332
130,9442154355.333332
131,9442154355.333332
132,9442154355.333332
133,9442154355.333332
134,9442154355.333332
135,9442154355.333332
136,9442154355.333332
137,9442154355.333332
138,9442154355.333332
139,9442154355.333332
140,9442154355.333332
141,9442154355.333332
142,9442154355.333332
143,9442154355.333332
144,9442154355.333332
145,9442154355.333332
146,9442154355.333332
147,9442154355.333332
148,9442154355.333332
149,9442154355.333332
150,9442154355.333332
151,9442154355.333332
152,9442154355.333332
153,9442154355.333332
154,9442154355.333332
155,9442154355.333332
156,9442154355.333332
157,9442154355.333332
158,9442154355.333332
159,9442154355.333332
160,9442154355.333332
161,9442154355.333332
162,9442154355.333332
163,9442154355.333332
164,9442154355.333332
165,9442154355.333332
166,9442154355.333332
167,9442154355.333332
168,9442154355.333332
169,9442154355.333332
170,9442154355.333332
171,9442154355.333332
172,9442154355.333332
173,9442154355.333332
174,9442154355.333332
175,9442154355.333332
176,9442154355.333332
177,9442154355.333332
178,9442154355.333332
179,9442154355.333332
180,9442154355.333332
181,9442154355.333332
182,9442154355.333332
183,9442154355.333332
184,9442154355.333332
185,9442154355.333332
186,9442154355.333332
187,9442154355.333332
188,9442154355.333332
189,9442154355.333332
190,9442154355.333332
191,9442154355.333332
192,9442154355.333332
193,9442154355.333332
194,9442154355.333332
195,9442154355.333332
196,9442154355.333332
197,9442154355.333332
198,9442154355.333332
199,9442154355.333332
200,9442154355.333332
201,9442154355.333332
202,9442154355.333332
203,9442154355.333332
204,9442154355.333332
205,9442154355.333332
206,9442154355.333332
207,9442154355.333332
208,9442154355.333332
209,9442154355.333332
210,9442154355.333332
211,9442154355.333332
212,9442154355.333332
213,9442154355.333332
214,9442154355.333332
215,9442154355.333332
216,9442154355.333332
217,9442154355.333332
218,9442154355.333332
219,9442154355.333332
220,9442154355.333332
221,9442154355.333332
222,9442154355.333332
223,9442154355.333332
224,9442154355.333332
225,9442154355.333332
226,9442154355.333332
227,9442154355.333332
228,9442154355.333332
229,9442154355.333332
230,9442154355.333332
231,9442154355.333332
232,9442154355.333332
233,9442154355.333332
234,9442154355.333332
235,9442154355.333332
236,9442154355.333332
237,9442154355.333332
238,9442154355.333332
239,9442154355.333332
240,9442154355.333332
241,9442154355.333332
242,9442154355.333332
243,9442154355.333332
244,9442154355.333332
245,9442154355.333332
246,9442154355.333332
247,9442154355.333332
248,9442154355.333332
249,9442154355.333332
250,9442154355.333332
251,9442154355.333332
252,9442154355.333332
253,9442154355.333332
254,9442154355.333332
255,9442154355.333332
256,9442154355.333332
257,9442154355.333332
258,9442154355.333332
259,9442154355.333332
260,9442154355.333332
261,9442154355.333332
262,9442154355.333332
263,9442154355.333332
264,9442154355.333332
265,9442154355.333332
266,9442154355.333332
267,9442154355.333332
268,9442154355.333332
269,9442154355.333332
270,9442154355.333332
271,9442154355.333332
272,9442154355.333332
273,9442154355.333332
274,9442154355.333332
275,9442154355.333332
276,9442154355.333332
277,9442154355.333332
278,9442154355.333332
279,9442154355.333332
280,9442154355.333332
281,9442154355.333332
282,9442154355.333332
283,9442154355.333332
284,9442154355.333332
285,9442154355.333332
286,9442154355.333332
287,9442154355.333332
288,9442154355.333332
289,9442154355.333332
290,9442154355.333332
291,9442154355.333332
292,9442154355.333332
293,9442154355.333332
294,9442154355.333332
295,9442154355.333332
296,9442154355.333332
297,9442154355.333332
298,9442154355.333332
299,9442154355.333332
300,9442154355.333332
