iteracion,van
0,18760947205.0
1,18844906997.0
2,19000830343.666668
3,19000830343.666668
4,19063641749.666668
5,19116045407.666668
6,19118371358.333332
7,19189354487.666668
8,19225383398.0
9,19314693467.0
10,19314693467.0
11,19375820983.0
12,19518847061.333332
13,19646721807.666668
14,19768903330.333332
15,19768903330.333332
16,19986075609.0
17,19986075609.0
18,20046748756.333332
19,20046748756.333332
20,20046748756.333332
21,20085405072.333332
22,20085405072.333332
23,20085405072.333332
24,20093063988.666668
25,20190951929.333332
26,20190951929.333332
27,20206252604.333332
28,20206252604.333332
29,20311544460.0
30,20327132269.333332
31,20410292954.0
32,20410292954.0
33,20410292954.0
34,20502599542.0
35,20508763289.333332
36,20508763289.333332
37,20508763289.333332
38,20548071762.333332
39,20683625053.666668
40,20683625053.666668
41,20742176098.666668
42,20838466762.0
43,20838466762.0
44,20838466762.0
45,20838466762.0
46,20838466762.0
47,20838466762.0
48,20838466762.0
49,20856625550.0
50,20856625550.0
51,20856625550.0
52,20856625550.0
53,20856625550.0
54,20860736884.666668
55,20920310347.0
56,20920310347.0
57,20921956026.333332
58,21032778603.0
59,21032778603.0
60,21060522775.666668
61,21060522775.666668
62,21074651912.333332
63,21074651912.333332
64,21074651912.333332
65,21074651912.333332
66,21106866256.666668
67,21106866256.666668
68,21106866256.666668
69,21106866256.666668
70,21106866256.666668
71,21106866256.666668
72,21106866256.666668
73,21106866256.666668
74,21106866256.666668
75,21106866256.666668
76,21106866256.666668
77,21106866256.666668
78,21106866256.666668
79,21106866256.666668
80,21106866256.666668
81,21106866256.666668
82,21106866256.666668
83,21106866256.666668
84,21106866256.666668
85,21106866256.666668
86,21106866256.666668
87,21106866256.666668
88,21106866256.666668
89,21106866256.666668
90,21106866256.666668
91,21106866256.666668
92,21106866256.666668
93,21106866256.666668
94,21106866256.666668
95,21106866256.666668
96,21106866256.666668
97,21106866256.666668
98,21106866256.666668
99,21106866256.666668
100,21106866256.666668
101,21106866256.666668
102,21106866256.666668
103,21106866256.666668
104,21106866256.666668
105,21106866256.666668
106,21106866256.666668
107,21106866256.666668
108,21106866256.666668
109,21106866256.666668
110,21106866256.666668
111,21106866256.666668
112,21106866256.666668
113,21106866256.666668
114,21106866256.666668
115,21106866256.666668
116,21106866256.666668
117,21106866256.666668
118,21106866256.666668
119,21106866256.666668
120,21106866256.666668
121,21106866256.666668
122,21106866256.666668
123,21106866256.666668
124,21106866256.666668
125,21106866256.666668
126,21106866256.666668
127,21106866256.666668
128,21106866256.666668
129,21106866256.666668
130,21106866256.666668
131,21106866256.666668
132,21106866256.666668
133,21106866256.666668
134,21106866256.666668
135,21106866256.666668
136,21106866256.666668
137,21106866256.666668
138,21106866256.666668
139,21106866256.666668
140,21106866256.666668
141,21106866256.666668
142,21106866256.666668
143,21106866256.666668
144,21106866256.666668
145,21106866256.666668
146,21106866256.666668
147,21106866256.666668
148,21106866256.666668
149,21106866256.666668
150,21106866256.666668
151,21106866256.666668
152,21106866256.666668
153,21106866256.666668
154,21106866256.666668
155,21106866256.666668
156,21106866256.666668
157,21106866256.666668
158,21106866256.666668
159,21106866256.666668
160,21106866256.666668
161,21106866256.666668
162,21106866256.666668
163,21106866256.666668
164,21106866256.666668
165,21106866256.666668
166,21106866256.666668
167,21106866256.666668
168,21117941690.666668
169,21117941690.666668
170,21117941690.666668
171,21140587697.666668
172,21140587697.666668
173,21156789648.666668
174,21156789648.666668
175,21156789648.666668
176,21156789648.666668
177,21156789648.666668
178,21156789648.666668
179,21156789648.666668
180,21156789648.666668
181,21156789648.666668
182,21156789648.666668
183,21156789648.666668
184,21156789648.666668
185,21156789648.666668
186,21156789648.666668
187,21156789648.666668
188,21156789648.666668
189,21156789648.666668
190,21156789648.666668
191,21156789648.666668
192,21156789648.666668
193,21156789648.666668
194,21156789648.666668
195,21156789648.666668
196,21156789648.666668
197,21156789648.666668
198,21156789648.666668
199,21156789648.666668
200,21156789648.666668
201,21156789648.666668
202,21156789648.666668
203,21156789648.666668
204,21156789648.666668
205,21156789648.666668
206,21156789648.666668
207,21156789648.666668
208,21156789648.666668
209,21156789648.666668
210,21156789648.666668
211,21156789648.666668
212,21156789648.666668
213,21156789648.666668
214,21156789648.666668
215,21156789648.666668
216,21156789648.666668
217,21156789648.666668
218,21156789648.666668
219,21156789648.666668
220,21156789648.666668
221,21156789648.666668
222,21156789648.666668
223,21156789648.666668
224,21156789648.666668
225,21156789648.666668
226,21156789648.666668
227,21156789648.666668
228,21156789648.666668
229,21156789648.666668
230,21156789648.666668
231,21156789648.666668
232,21156789648.666668
233,21156789648.666668
234,21156789648.666668
235,21156789648.666668
236,21156789648.666668
237,21156789648.666668
238,21156789648.666668
239,21156789648.666668
240,21156789648.666668
241,21156789648.666668
242,21156789648.666668
243,21156789648.666668
244,21156789648.666668
245,21156789648.666668
246,21156789648.666668
247,21156789648.666668
248,21156789648.666668
249,21156789648.666668
250,21156789648.666668
251,21156789648.666668
252,21156789648.666668
253,21156789648.666668
254,21156789648.666668
255,21156789648.666668
256,21156789648.666668
257,21156789648.666668
258,21156789648.666668
259,21156789648.666668
260,21156789648.666668
261,21156789648.666668
262,21156789648.666668
263,21156789648.666668
264,21156789648.666668
265,21156789648.666668
266,21156789648.666668
267,21156789648.666668
268,21156789648.666668
269,21156789648.666668
270,21156789648.666668
271,21156789648.666668
272,21156789648.666668
273,21156789648.666668
274,21156789648.666668
275,21156789648.666668
276,21156789648.666668
277,21156789648.666668
278,21156789648.666668
279,21156789648.666668
280,21156789648.666668
281,21156789648.666668
282,21156789648.666668
283,21156789648.666668
284,21156789648.666668
285,21156789648.666668
286,21156789648.666668
287,21156789648.666668
288,21156789648.666668
289,21156789648.666668
290,21156789648.666668
291,21156789648.666668
292,21156789648.666668
293,21156789648.666668
294,21156789648.666668
295,21156789648.666668
296,21156789648.666668
297,21156789648.666668
298,21156789648.666668
299,21156789648.666668
300,21156789648.666668
