iteracion,van
0,7868556733.666666
1,7868556733.666666
2,7868556733.666666
3,7868556733.666666
4,7868556733.666666
5,7994283989.666666
6,8052114338.0
7,8052114338.0
8,8052114338.0
9,8052114338.0
10,8052114338.0
11,8054918932.666666
12,8056680724.333334
13,8152013066.333334
14,8152013066.333334
15,8152013066.333334
16,8152013066.333334
17,8193323586.333334
18,8193323586.333334
19,8193323586.333334
20,8193323586.333334
21,8193323586.333334
22,8193323586.333334
23,8193323586.333334
24,8193323586.333334
25,8193323586.333334
26,8193323586.333334
27,8193323586.333334
28,8357300076.333334
29,8357300076.333334
30,8357300076.333334
31,8357300076.333334
32,8357300076.333334
33,8357300076.333334
34,8357300076.333334
35,8357300076.333334
36,8357300076.333334
37,8357300076.333334
38,8357300076.333334
39,8357300076.333334
40,8357300076.333334
41,8405886504.0
42,8405886504.0
43,8405886504.0
44,8405886504.0
45,8405886504.0
46,8405886504.0
47,8405886504.0
48,8513531391.0
49,8513531391.0
50,8513531391.0
51,8513531391.0
52,8513531391.0
53,8513531391.0
54,8513531391.0
55,8513531391.0
56,8513531391.0
57,8513531391.0
58,8513531391.0
59,8513531391.0
60,8513531391.0
61,8513531391.0
62,8513531391.0
63,8513531391.0
64,8513531391.0
65,8513531391.0
66,8513531391.0
67,8513531391.0
68,8513531391.0
69,8527581934.666666
70,8527581934.666666
71,8527581934.666666
72,8527581934.666666
73,8527581934.666666
74,8527581934.666666
75,8527581934.666666
76,8527581934.666666
77,8527581934.666666
78,8527581934.666666
79,8527581934.666666
80,8527581934.666666
81,8527581934.666666
82,8527581934.666666
83,8527581934.666666
84,8527581934.666666
85,8527581934.666666
86,8527581934.666666
87,8527581934.666666
88,8527581934.666666
89,8527581934.666666
90,8527581934.666666
91,8527581934.666666
92,8527581934.666666
93,8527581934.666666
94,8527581934.666666
95,8527581934.666666
96,8527581934.666666
97,8527581934.666666
98,8527581934.666666
99,8527581934.666666
100,8527581934.666666
101,8527581934.666666
102,8527581934.666666
103,8527581934.666666
104,8527581934.666666
105,8527581934.666666
106,8527581934.666666
107,8527581934.666666
108,8527581934.666666
109,8527581934.666666
110,8527581934.666666
111,8527581934.666666
112,8527581934.666666
113,8527581934.666666
114,8527581934.666666
115,8527581934.666666
116,8527581934.666666
117,8527581934.666666
118,8527581934.666666
119,8527581934.666666
120,8527581934.666666
121,8527581934.666666
122,8527581934.666666
123,8527581934.666666
124,8527581934.666666
125,8527581934.666666
126,8527581934.666666
127,8527581934.666666
128,8527581934.666666
129,8527581934.666666
130,8527581934.666666
131,8527581934.666666
132,8527581934.666666
133,8527581934.666666
134,8527581934.666666
135,8527581934.666666
136,8527581934.666666
137,8527581934.666666
138,8527581934.666666
139,8527581934.666666
140,8527581934.666666
141,8527581934.666666
142,8527581934.666666
143,8527581934.666666
144,8527581934.666666
145,8527581934.666666
146,8527581934.666666
147,8527581934.666666
148,8527581934.666666
149,8527581934.666666
150,8527581934.666666
151,8527581934.666666
152,8527581934.666666
