iteracion,van
0,20973442761.0
1,21097673096.0
2,21097673096.0
3,21097673096.0
4,21097673096.0
5,21097673096.0
6,21097673096.0
7,21172311160.666668
8,21191046230.666668
9,21191046230.666668
10,21191046230.666668
11,21191046230.666668
12,21191046230.666668
13,21191046230.666668
14,21191046230.666668
15,21191046230.666668
16,21191046230.666668
17,21191046230.666668
18,21191046230.666668
19,21191046230.666668
20,21191046230.666668
21,21203882905.666668
22,21203882905.666668
23,21203882905.666668
24,21203882905.666668
25,21203882905.666668
26,21203882905.666668
27,21203882905.666668
28,21203882905.666668
29,21203882905.666668
30,21203882905.666668
31,21203882905.666668
32,21203882905.666668
33,21203882905.666668
34,21203882905.666668
35,21203882905.666668
36,21203882905.666668
37,21203882905.666668
38,21203882905.666668
39,21203882905.666668
40,21203882905.666668
41,21203882905.666668
42,21203882905.666668
43,21203882905.666668
44,21203882905.666668
45,21203882905.666668
46,21203882905.666668
47,21203882905.666668
48,21203882905.666668
49,21203882905.666668
50,21203882905.666668
51,21203882905.666668
52,21203882905.666668
53,21203882905.666668
54,21203882905.666668
55,21203882905.666668
56,21203882905.666668
57,21203882905.666668
58,21203882905.666668
59,21203882905.666668
60,21203882905.666668
61,21203882905.666668
62,21203882905.666668
63,21203882905.666668
64,21203882905.666668
65,21203882905.666668
66,21203882905.666668
67,21203882905.666668
68,21203882905.666668
69,21203882905.666668
70,21203882905.666668
71,21203882905.666668
72,21203882905.666668
73,21203882905.666668
74,21203882905.666668
75,21203882905.666668
76,21203882905.666668
77,21203882905.666668
78,21203882905.666668
79,21203882905.666668
80,21203882905.666668
81,21203882905.666668
82,21203882905.666668
83,21203882905.666668
84,21203882905.666668
85,21203882905.666668
86,21203882905.666668
87,21203882905.666668
88,21203882905.666668
89,21203882905.666668
90,21203882905.666668
91,21203882905.666668
92,21203882905.666668
93,21203882905.666668
94,21203882905.666668
95,21203882905.666668
96,21203882905.666668
97,21203882905.666668
98,21203882905.666668
99,21203882905.666668
100,21203882905.666668
101,21203882905.666668
102,21203882905.666668
103,21203882905.666668
104,21203882905.666668
105,21203882905.666668
106,21203882905.666668
107,21203882905.666668
108,21203882905.666668
109,21203882905.666668
110,21203882905.666668
111,21203882905.666668
112,21203882905.666668
113,21203882905.666668
114,21203882905.666668
115,21203882905.666668
116,21203882905.666668
117,21203882905.666668
118,21203882905.666668
119,21203882905.666668
120,21203882905.666668
121,21203882905.666668
122,21203882905.666668
123,21203882905.666668
124,21203882905.666668
125,21203882905.666668
126,21203882905.666668
127,21203882905.666668
128,21203882905.666668
129,21203882905.666668
130,21203882905.666668
131,21203882905.666668
132,21203882905.666668
133,21203882905.666668
134,21203882905.666668
135,21203882905.666668
136,21203882905.666668
137,21203882905.666668
138,21203882905.666668
139,21203882905.666668
140,21203882905.666668
141,21203882905.666668
142,21203882905.666668
143,21203882905.666668
144,21203882905.666668
145,21203882905.666668
146,21203882905.666668
147,21203882905.666668
148,21203882905.666668
149,21203882905.666668
150,21203882905.666668
151,21203882905.666668
152,21203882905.666668
153,21203882905.666668
154,21203882905.666668
155,21203882905.666668
156,21203882905.666668
157,21203882905.666668
158,21203882905.666668
159,21203882905.666668
160,21203882905.666668
161,21203882905.666668
162,21203882905.666668
163,21203882905.666668
164,21203882905.666668
165,21203882905.666668
166,21203882905.666668
167,21203882905.666668
168,21203882905.666668
169,21203882905.666668
170,21203882905.666668
171,21203882905.666668
172,21203882905.666668
173,21203882905.666668
174,21203882905.666668
175,21203882905.666668
176,21203882905.666668
177,21203882905.666668
178,21203882905.666668
179,21203882905.666668
180,21203882905.666668
181,21203882905.666668
182,21203882905.666668
183,21203882905.666668
184,21203882905.666668
185,21203882905.666668
186,21203882905.666668
187,21203882905.666668
188,21203882905.666668
189,21203882905.666668
190,21203882905.666668
191,21203882905.666668
192,21203882905.666668
