iteracion,configuracion
0,{<LaneType.REGULAR: 'regular'>: 15, <LaneType.EXPRESS: 'express'>: 3, <LaneType.PRIORITY: 'priority'>: 2, <LaneType.SELF: 'self_checkout'>: 5}
1,{<LaneType.REGULAR: 'regular'>: 20, <LaneType.EXPRESS: 'express'>: 3, <LaneType.PRIORITY: 'priority'>: 2, <LaneType.SELF: 'self_checkout'>: 0}
2,{<LaneType.REGULAR: 'regular'>: 25, <LaneType.EXPRESS: 'express'>: 3, <LaneType.PRIORITY: 'priority'>: 2, <LaneType.SELF: 'self_checkout'>: 0}
3,{<LaneType.REGULAR: 'regular'>: 26, <LaneType.EXPRESS: 'express'>: 3, <LaneType.PRIORITY: 'priority'>: 1, <LaneType.SELF: 'self_checkout'>: 0}
4,{<LaneType.REGULAR: 'regular'>: 26, <LaneType.EXPRESS: 'express'>: 3, <LaneType.PRIORITY: 'priority'>: 1, <LaneType.SELF: 'self_checkout'>: 0}
5,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 3, <LaneType.PRIORITY: 'priority'>: 1, <LaneType.SELF: 'self_checkout'>: 0}
6,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 1, <LaneType.SELF: 'self_checkout'>: 5}
7,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 1, <LaneType.SELF: 'self_checkout'>: 5}
8,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
9,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
10,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
11,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
12,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
13,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
14,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
15,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
16,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
17,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
18,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
19,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
20,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
21,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
22,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
23,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
24,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
25,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
26,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
27,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
28,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
29,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
30,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
31,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
32,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
33,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
34,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
35,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
36,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
37,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
38,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
39,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
40,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
41,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
42,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
43,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
44,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
45,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
46,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
47,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
48,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
49,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
50,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
51,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
52,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
53,{<LaneType.REGULAR: 'regular'>: 27, <LaneType.EXPRESS: 'express'>: 0, <LaneType.PRIORITY: 'priority'>: 0, <LaneType.SELF: 'self_checkout'>: 5}
